DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20200206,06/02/2020,Thursday,February,Feb,2,1,2020
20200207,07/02/2020,Friday,February,Feb,2,1,2020
20200208,08/02/2020,Saturday,February,Feb,2,1,2020
20200209,09/02/2020,Sunday,February,Feb,2,1,2020
20200210,10/02/2020,Monday,February,Feb,2,1,2020
20200211,11/02/2020,Tuesday,February,Feb,2,1,2020
20200212,12/02/2020,Wednesday,February,Feb,2,1,2020
20200213,13/02/2020,Thursday,February,Feb,2,1,2020
20200214,14/02/2020,Friday,February,Feb,2,1,2020
20200215,15/02/2020,Saturday,February,Feb,2,1,2020
20200216,16/02/2020,Sunday,February,Feb,2,1,2020
20200217,17/02/2020,Monday,February,Feb,2,1,2020
20200218,18/02/2020,Tuesday,February,Feb,2,1,2020
20200219,19/02/2020,Wednesday,February,Feb,2,1,2020
20200220,20/02/2020,Thursday,February,Feb,2,1,2020
20200221,21/02/2020,Friday,February,Feb,2,1,2020
20200222,22/02/2020,Saturday,February,Feb,2,1,2020
20200223,23/02/2020,Sunday,February,Feb,2,1,2020
20200224,24/02/2020,Monday,February,Feb,2,1,2020
20200225,25/02/2020,Tuesday,February,Feb,2,1,2020
20200226,26/02/2020,Wednesday,February,Feb,2,1,2020
20200227,27/02/2020,Thursday,February,Feb,2,1,2020
20200228,28/02/2020,Friday,February,Feb,2,1,2020
20200229,29/02/2020,Saturday,February,Feb,2,1,2020
20200301,01/03/2020,Sunday,March,Mar,3,1,2020
20200302,02/03/2020,Monday,March,Mar,3,1,2020
20200303,03/03/2020,Tuesday,March,Mar,3,1,2020
20200304,04/03/2020,Wednesday,March,Mar,3,1,2020
20200305,05/03/2020,Thursday,March,Mar,3,1,2020
20200306,06/03/2020,Friday,March,Mar,3,1,2020
20200307,07/03/2020,Saturday,March,Mar,3,1,2020
20200308,08/03/2020,Sunday,March,Mar,3,1,2020
20200309,09/03/2020,Monday,March,Mar,3,1,2020
20200310,10/03/2020,Tuesday,March,Mar,3,1,2020
20200311,11/03/2020,Wednesday,March,Mar,3,1,2020
20200312,12/03/2020,Thursday,March,Mar,3,1,2020
20200313,13/03/2020,Friday,March,Mar,3,1,2020
20200314,14/03/2020,Saturday,March,Mar,3,1,2020
20200315,15/03/2020,Sunday,March,Mar,3,1,2020
20200316,16/03/2020,Monday,March,Mar,3,1,2020
20200317,17/03/2020,Tuesday,March,Mar,3,1,2020
20200318,18/03/2020,Wednesday,March,Mar,3,1,2020
20200319,19/03/2020,Thursday,March,Mar,3,1,2020
20200320,20/03/2020,Friday,March,Mar,3,1,2020
20200321,21/03/2020,Saturday,March,Mar,3,1,2020
20200322,22/03/2020,Sunday,March,Mar,3,1,2020
20200323,23/03/2020,Monday,March,Mar,3,1,2020
20200324,24/03/2020,Tuesday,March,Mar,3,1,2020
20200325,25/03/2020,Wednesday,March,Mar,3,1,2020
20200326,26/03/2020,Thursday,March,Mar,3,1,2020
20200327,27/03/2020,Friday,March,Mar,3,1,2020
20200328,28/03/2020,Saturday,March,Mar,3,1,2020
20200329,29/03/2020,Sunday,March,Mar,3,1,2020
20200330,30/03/2020,Monday,March,Mar,3,1,2020
20200331,31/03/2020,Tuesday,March,Mar,3,1,2020
20200401,01/04/2020,Wednesday,April,Apr,4,2,2020
20200402,02/04/2020,Thursday,April,Apr,4,2,2020
20200403,03/04/2020,Friday,April,Apr,4,2,2020
20200404,04/04/2020,Saturday,April,Apr,4,2,2020
20200405,05/04/2020,Sunday,April,Apr,4,2,2020
20200406,06/04/2020,Monday,April,Apr,4,2,2020
20200407,07/04/2020,Tuesday,April,Apr,4,2,2020
20200408,08/04/2020,Wednesday,April,Apr,4,2,2020
20200409,09/04/2020,Thursday,April,Apr,4,2,2020
20200410,10/04/2020,Friday,April,Apr,4,2,2020
20200411,11/04/2020,Saturday,April,Apr,4,2,2020
20200412,12/04/2020,Sunday,April,Apr,4,2,2020
20200413,13/04/2020,Monday,April,Apr,4,2,2020
20200414,14/04/2020,Tuesday,April,Apr,4,2,2020
20200415,15/04/2020,Wednesday,April,Apr,4,2,2020
20200416,16/04/2020,Thursday,April,Apr,4,2,2020
20200417,17/04/2020,Friday,April,Apr,4,2,2020
20200418,18/04/2020,Saturday,April,Apr,4,2,2020
20200419,19/04/2020,Sunday,April,Apr,4,2,2020
20200420,20/04/2020,Monday,April,Apr,4,2,2020
20200421,21/04/2020,Tuesday,April,Apr,4,2,2020
20200422,22/04/2020,Wednesday,April,Apr,4,2,2020
20200423,23/04/2020,Thursday,April,Apr,4,2,2020
20200424,24/04/2020,Friday,April,Apr,4,2,2020
20200425,25/04/2020,Saturday,April,Apr,4,2,2020
20200426,26/04/2020,Sunday,April,Apr,4,2,2020
20200427,27/04/2020,Monday,April,Apr,4,2,2020
20200428,28/04/2020,Tuesday,April,Apr,4,2,2020
20200429,29/04/2020,Wednesday,April,Apr,4,2,2020
20200430,30/04/2020,Thursday,April,Apr,4,2,2020
20200501,01/05/2020,Friday,May,May,5,2,2020
20200502,02/05/2020,Saturday,May,May,5,2,2020
20200503,03/05/2020,Sunday,May,May,5,2,2020
20200504,04/05/2020,Monday,May,May,5,2,2020
20200505,05/05/2020,Tuesday,May,May,5,2,2020
20200506,06/05/2020,Wednesday,May,May,5,2,2020
20200507,07/05/2020,Thursday,May,May,5,2,2020
20200508,08/05/2020,Friday,May,May,5,2,2020
20200509,09/05/2020,Saturday,May,May,5,2,2020
20200510,10/05/2020,Sunday,May,May,5,2,2020
20200511,11/05/2020,Monday,May,May,5,2,2020
20200512,12/05/2020,Tuesday,May,May,5,2,2020
20200513,13/05/2020,Wednesday,May,May,5,2,2020
20200514,14/05/2020,Thursday,May,May,5,2,2020
20200515,15/05/2020,Friday,May,May,5,2,2020
20200516,16/05/2020,Saturday,May,May,5,2,2020
20200517,17/05/2020,Sunday,May,May,5,2,2020
20200518,18/05/2020,Monday,May,May,5,2,2020
20200519,19/05/2020,Tuesday,May,May,5,2,2020
20200520,20/05/2020,Wednesday,May,May,5,2,2020
20200521,21/05/2020,Thursday,May,May,5,2,2020
20200522,22/05/2020,Friday,May,May,5,2,2020
20200523,23/05/2020,Saturday,May,May,5,2,2020
20200524,24/05/2020,Sunday,May,May,5,2,2020
20200525,25/05/2020,Monday,May,May,5,2,2020
20200526,26/05/2020,Tuesday,May,May,5,2,2020
20200527,27/05/2020,Wednesday,May,May,5,2,2020
20200528,28/05/2020,Thursday,May,May,5,2,2020
20200529,29/05/2020,Friday,May,May,5,2,2020
20200530,30/05/2020,Saturday,May,May,5,2,2020
20200531,31/05/2020,Sunday,May,May,5,2,2020
20200601,01/06/2020,Monday,June,Jun,6,2,2020
20200602,02/06/2020,Tuesday,June,Jun,6,2,2020
20200603,03/06/2020,Wednesday,June,Jun,6,2,2020
20200604,04/06/2020,Thursday,June,Jun,6,2,2020
20200605,05/06/2020,Friday,June,Jun,6,2,2020
20200606,06/06/2020,Saturday,June,Jun,6,2,2020
20200607,07/06/2020,Sunday,June,Jun,6,2,2020
20200608,08/06/2020,Monday,June,Jun,6,2,2020
20200609,09/06/2020,Tuesday,June,Jun,6,2,2020
20200610,10/06/2020,Wednesday,June,Jun,6,2,2020
20200611,11/06/2020,Thursday,June,Jun,6,2,2020
