DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20210422,22/04/2021,Thursday,April,Apr,4,2,2021
20210423,23/04/2021,Friday,April,Apr,4,2,2021
20210424,24/04/2021,Saturday,April,Apr,4,2,2021
20210425,25/04/2021,Sunday,April,Apr,4,2,2021
20210426,26/04/2021,Monday,April,Apr,4,2,2021
20210427,27/04/2021,Tuesday,April,Apr,4,2,2021
20210428,28/04/2021,Wednesday,April,Apr,4,2,2021
20210429,29/04/2021,Thursday,April,Apr,4,2,2021
20210430,30/04/2021,Friday,April,Apr,4,2,2021
20210501,01/05/2021,Saturday,May,May,5,2,2021
20210502,02/05/2021,Sunday,May,May,5,2,2021
20210503,03/05/2021,Monday,May,May,5,2,2021
20210504,04/05/2021,Tuesday,May,May,5,2,2021
20210505,05/05/2021,Wednesday,May,May,5,2,2021
20210506,06/05/2021,Thursday,May,May,5,2,2021
20210507,07/05/2021,Friday,May,May,5,2,2021
20210508,08/05/2021,Saturday,May,May,5,2,2021
20210509,09/05/2021,Sunday,May,May,5,2,2021
20210510,10/05/2021,Monday,May,May,5,2,2021
20210511,11/05/2021,Tuesday,May,May,5,2,2021
20210512,12/05/2021,Wednesday,May,May,5,2,2021
20210513,13/05/2021,Thursday,May,May,5,2,2021
20210514,14/05/2021,Friday,May,May,5,2,2021
20210515,15/05/2021,Saturday,May,May,5,2,2021
20210516,16/05/2021,Sunday,May,May,5,2,2021
20210517,17/05/2021,Monday,May,May,5,2,2021
20210518,18/05/2021,Tuesday,May,May,5,2,2021
20210519,19/05/2021,Wednesday,May,May,5,2,2021
20210520,20/05/2021,Thursday,May,May,5,2,2021
20210521,21/05/2021,Friday,May,May,5,2,2021
20210522,22/05/2021,Saturday,May,May,5,2,2021
20210523,23/05/2021,Sunday,May,May,5,2,2021
20210524,24/05/2021,Monday,May,May,5,2,2021
20210525,25/05/2021,Tuesday,May,May,5,2,2021
20210526,26/05/2021,Wednesday,May,May,5,2,2021
20210527,27/05/2021,Thursday,May,May,5,2,2021
20210528,28/05/2021,Friday,May,May,5,2,2021
20210529,29/05/2021,Saturday,May,May,5,2,2021
20210530,30/05/2021,Sunday,May,May,5,2,2021
20210531,31/05/2021,Monday,May,May,5,2,2021
20210601,01/06/2021,Tuesday,June,Jun,6,2,2021
20210602,02/06/2021,Wednesday,June,Jun,6,2,2021
20210603,03/06/2021,Thursday,June,Jun,6,2,2021
20210604,04/06/2021,Friday,June,Jun,6,2,2021
20210605,05/06/2021,Saturday,June,Jun,6,2,2021
20210606,06/06/2021,Sunday,June,Jun,6,2,2021
20210607,07/06/2021,Monday,June,Jun,6,2,2021
20210608,08/06/2021,Tuesday,June,Jun,6,2,2021
20210609,09/06/2021,Wednesday,June,Jun,6,2,2021
20210610,10/06/2021,Thursday,June,Jun,6,2,2021
20210611,11/06/2021,Friday,June,Jun,6,2,2021
20210612,12/06/2021,Saturday,June,Jun,6,2,2021
20210613,13/06/2021,Sunday,June,Jun,6,2,2021
20210614,14/06/2021,Monday,June,Jun,6,2,2021
20210615,15/06/2021,Tuesday,June,Jun,6,2,2021
20210616,16/06/2021,Wednesday,June,Jun,6,2,2021
20210617,17/06/2021,Thursday,June,Jun,6,2,2021
20210618,18/06/2021,Friday,June,Jun,6,2,2021
20210619,19/06/2021,Saturday,June,Jun,6,2,2021
20210620,20/06/2021,Sunday,June,Jun,6,2,2021
20210621,21/06/2021,Monday,June,Jun,6,2,2021
20210622,22/06/2021,Tuesday,June,Jun,6,2,2021
20210623,23/06/2021,Wednesday,June,Jun,6,2,2021
20210624,24/06/2021,Thursday,June,Jun,6,2,2021
20210625,25/06/2021,Friday,June,Jun,6,2,2021
20210626,26/06/2021,Saturday,June,Jun,6,2,2021
20210627,27/06/2021,Sunday,June,Jun,6,2,2021
20210628,28/06/2021,Monday,June,Jun,6,2,2021
20210629,29/06/2021,Tuesday,June,Jun,6,2,2021
20210630,30/06/2021,Wednesday,June,Jun,6,2,2021
